timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_11_density,genotype_10_density,genotype_12_density,genotype_13_density,genotype_14_density
59,1043,30,0.0,0.005752636625119847,0.00862895493767977,0.9333333333333333,55.89303904154434,15,0.9693192713326941,0.0019175455417066154,0.003835091083413231,0.0028763183125599234,0.003835091083413231,0.005752636625119847,0.0019175455417066154,0.0009587727708533077,,0.0028763183125599234,0.0019175455417066154,,,,
60,1048,30,0.0,0.0057251908396946565,0.9780534351145038,0.9333333333333333,42.481638003832344,15,0.9694656488549618,0.0019083969465648854,0.003816793893129771,0.0028625954198473282,0.003816793893129771,0.0057251908396946565,0.0019083969465648854,0.0009541984732824427,,0.0028625954198473282,0.0019083969465648854,,,,
61,1014,30,0.0,0.005917159763313609,0.9773175542406312,0.9333333333333333,30.179654079923367,15,0.9684418145956607,0.0019723865877712033,0.0039447731755424065,0.0029585798816568047,0.0039447731755424065,0.005917159763313609,0.0019723865877712033,0.0009861932938856016,,0.0029585798816568047,0.0019723865877712033,,,,
62,801,30,0.0,0.00749063670411985,0.9737827715355806,0.9333333333333333,23.842563584674,15,0.9625468164794008,0.0024968789013732834,0.004993757802746567,0.003745318352059925,0.004993757802746567,0.00749063670411985,0.0024968789013732834,0.0012484394506866417,0.0012484394506866417,,0.0024968789013732834,,,,
63,563,30,0.0,0.010657193605683837,0.9698046181172292,0.9333333333333333,22.698346915517057,15,0.9591474245115453,0.003552397868561279,0.0017761989342806395,0.003552397868561279,0.003552397868561279,0.010657193605683837,0.003552397868561279,0.0017761989342806395,0.0017761989342806395,,,0.0017761989342806395,,,
64,442,30,0.0,0.013574660633484163,0.9638009049773756,0.9333333333333333,21.797456156808504,15,0.9524886877828054,0.0022624434389140274,0.0022624434389140274,0.004524886877828055,,0.013574660633484163,0.004524886877828055,0.0022624434389140274,0.0022624434389140274,,,0.0022624434389140274,0.0022624434389140274,,
65,359,30,0.0,0.016713091922005572,0.958217270194986,0.9333333333333333,21.46126706079581,15,0.9442896935933147,0.002785515320334262,0.002785515320334262,0.002785515320334262,,0.016713091922005572,0.005571030640668524,0.002785515320334262,0.002785515320334262,,,0.002785515320334262,0.002785515320334262,,
66,309,30,0.0,0.019417475728155338,0.9514563106796117,0.9333333333333333,20.861113969886812,15,0.9385113268608414,0.003236245954692557,0.003236245954692557,0.003236245954692557,,0.019417475728155338,,0.003236245954692557,0.003236245954692557,,,0.003236245954692557,0.003236245954692557,0.003236245954692557,
67,275,30,0.0,0.02181818181818182,0.9490909090909091,0.9333333333333333,19.9132745868468,15,0.9345454545454546,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,,0.01818181818181818,,0.0036363636363636364,0.0036363636363636364,,,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,
68,248,30,0.0,0.024193548387096774,0.9475806451612904,0.9333333333333333,19.007024904995063,15,0.9314516129032258,0.004032258064516129,0.004032258064516129,0.004032258064516129,,0.016129032258064516,,0.004032258064516129,0.004032258064516129,,,0.004032258064516129,0.004032258064516129,0.004032258064516129,
69,228,30,0.0,0.02631578947368421,0.9429824561403509,0.9333333333333333,17.96510848735794,15,0.9254385964912281,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,,0.017543859649122806,,0.0043859649122807015,0.0043859649122807015,,,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,
70,211,30,0.0,0.02843601895734597,0.943127962085308,0.9333333333333333,16.88897087885855,15,0.919431279620853,0.004739336492890996,0.004739336492890996,0.004739336492890996,,0.018957345971563982,,0.004739336492890996,0.004739336492890996,,,0.004739336492890996,0.004739336492890996,0.004739336492890996,
71,192,30,0.0,0.03125,0.9479166666666666,0.9333333333333333,16.27602936393658,14,0.921875,0.005208333333333333,0.005208333333333333,0.005208333333333333,,0.015625,,0.005208333333333333,0.005208333333333333,,,0.005208333333333333,0.005208333333333333,0.005208333333333333,
72,182,30,0.0,0.03296703296703297,0.9505494505494505,0.9333333333333333,15.098691270134955,14,0.9175824175824175,0.005494505494505495,0.005494505494505495,0.005494505494505495,,0.016483516483516484,,0.005494505494505495,0.005494505494505495,,,0.005494505494505495,0.005494505494505495,0.005494505494505495,
73,167,30,0.0,0.03592814371257485,0.9640718562874252,0.9333333333333333,14.550998363029274,11,0.9341317365269461,,,0.005988023952095809,0.005988023952095809,0.011976047904191617,,0.005988023952095809,0.005988023952095809,,0.005988023952095809,,0.005988023952095809,0.005988023952095809,0.005988023952095809
74,151,30,0.0,0.039735099337748346,0.9602649006622517,0.9333333333333333,14.288310482480625,11,0.9271523178807947,,,0.006622516556291391,0.006622516556291391,0.013245033112582781,,0.006622516556291391,0.006622516556291391,,0.006622516556291391,,0.006622516556291391,0.006622516556291391,0.006622516556291391
75,143,30,0.0,0.04195804195804196,0.958041958041958,0.9333333333333333,13.662857181113758,11,0.9230769230769231,,,0.006993006993006993,0.006993006993006993,0.013986013986013986,,0.006993006993006993,0.006993006993006993,,0.006993006993006993,,0.006993006993006993,0.006993006993006993,0.006993006993006993
76,135,30,0.0,0.044444444444444446,0.9555555555555556,0.9333333333333333,13.113337649317097,11,0.9185185185185185,,,0.007407407407407408,0.007407407407407408,0.014814814814814815,,0.007407407407407408,0.007407407407407408,,0.007407407407407408,,0.007407407407407408,0.007407407407407408,0.007407407407407408
77,131,30,0.0,0.04580152671755725,0.9541984732824428,0.9333333333333333,12.266005247099375,11,0.916030534351145,,,0.007633587786259542,0.007633587786259542,0.015267175572519083,,0.007633587786259542,0.007633587786259542,,0.007633587786259542,,0.007633587786259542,0.007633587786259542,0.007633587786259542
78,129,30,0.0,0.046511627906976744,0.9612403100775194,0.9333333333333333,12.145470682082886,10,0.9224806201550387,,,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,0.007751937984496124,0.007751937984496124
79,129,30,0.0,0.046511627906976744,0.9612403100775194,0.9333333333333333,11.774288708861043,10,0.9224806201550387,,,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,0.007751937984496124,0.007751937984496124
80,129,30,0.0,0.046511627906976744,0.9612403100775194,0.9333333333333333,11.429328243224575,10,0.9224806201550387,,,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,,0.007751937984496124,0.007751937984496124,0.007751937984496124
81,128,30,0.0,0.046875,0.9609375,0.9333333333333333,11.14881195219407,10,0.921875,,,0.0078125,0.0078125,0.015625,0.0078125,,0.0078125,,0.0078125,,0.0078125,0.0078125,0.0078125
