timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density
111,58,40,0.0,0.05172413793103448,1.0,0.875,12.886070607194384,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
112,58,40,0.0,0.05172413793103448,1.0,0.875,12.891565668707194,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
113,58,40,0.0,0.05172413793103448,1.0,0.875,12.891756772689407,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
114,57,40,0.0,0.05263157894736842,1.0,0.875,13.130178022882616,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
115,57,40,0.0,0.05263157894736842,1.0,0.875,13.172460064512958,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
116,57,40,0.0,0.05263157894736842,1.0,0.875,13.227953326151633,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
117,57,40,0.0,0.05263157894736842,1.0,0.875,13.25363933500585,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
118,57,40,0.0,0.05263157894736842,1.0,0.875,13.287250491945684,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
119,57,40,0.0,0.05263157894736842,1.0,0.875,13.344854327490495,5,0.9298245614035088,,,0.017543859649122806,0.017543859649122806,,0.017543859649122806,0.017543859649122806
120,56,40,0.0,0.05357142857142857,1.0,0.875,13.542301207851958,5,0.9285714285714286,,,0.017857142857142856,0.017857142857142856,,0.017857142857142856,0.017857142857142856
121,56,40,0.0,0.05357142857142857,1.0,0.875,13.512589077237605,5,0.9285714285714286,,,0.017857142857142856,0.017857142857142856,,0.017857142857142856,0.017857142857142856
122,55,40,0.0,0.05454545454545454,1.0,0.875,13.700330861511437,5,0.9272727272727272,,,0.01818181818181818,0.01818181818181818,,0.01818181818181818,0.01818181818181818
123,55,40,0.0,0.05454545454545454,1.0,0.875,13.725330746870998,5,0.9272727272727272,,,0.01818181818181818,0.01818181818181818,,0.01818181818181818,0.01818181818181818
124,54,40,0.0,0.05555555555555555,1.0,0.875,14.003657529724933,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
125,54,40,0.0,0.05555555555555555,1.0,0.875,14.053528338671427,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
126,54,40,0.0,0.05555555555555555,1.0,0.875,14.108817126331255,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
127,54,40,0.0,0.05555555555555555,1.0,0.875,14.126991807125322,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
128,54,40,0.0,0.05555555555555555,1.0,0.875,14.145075614515413,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
129,54,40,0.0,0.05555555555555555,1.0,0.875,14.236744328723491,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
130,54,40,0.0,0.05555555555555555,1.0,0.875,14.259946706263667,5,0.9259259259259259,,,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517
131,53,40,0.0,0.05660377358490566,1.0,0.875,14.578866196680584,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
132,53,40,0.0,0.05660377358490566,1.0,0.875,14.66190576524512,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
