timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_19_density,genotype_16_density,genotype_17_density,genotype_20_density,genotype_24_density,genotype_15_density,genotype_18_density,genotype_22_density,genotype_25_density,genotype_28_density
91,207,60,0.0,0.07246376811594203,0.9516908212560387,0.9642857142857143,13.184351396263462,11,0.9516908212560387,0.004830917874396135,,,,0.004830917874396135,0.004830917874396135,,0.004830917874396135,,,,,,,,,0.004830917874396135,0.004830917874396135,,0.004830917874396135,,0.004830917874396135,0.004830917874396135,
92,204,60,0.0,0.07352941176470588,0.9607843137254902,0.9642857142857143,13.200961935909978,9,0.9607843137254902,0.004901960784313725,,,,0.004901960784313725,,,0.004901960784313725,,,,,,0.004901960784313725,,,0.004901960784313725,0.004901960784313725,,0.004901960784313725,,,0.004901960784313725,
93,203,60,0.0,0.07389162561576355,0.9605911330049262,0.9642857142857143,13.090029218349068,9,0.9605911330049262,0.0049261083743842365,,,,0.0049261083743842365,,,0.0049261083743842365,,,,,,0.0049261083743842365,,,0.0049261083743842365,0.0049261083743842365,,0.0049261083743842365,,,0.0049261083743842365,
94,203,60,0.0,0.07389162561576355,0.9605911330049262,0.9642857142857143,12.914067272569332,9,0.9605911330049262,0.0049261083743842365,,,,0.0049261083743842365,,,0.0049261083743842365,,,,,,0.0049261083743842365,,,0.0049261083743842365,0.0049261083743842365,,0.0049261083743842365,,,0.0049261083743842365,
95,203,60,0.0,0.07389162561576355,0.9605911330049262,0.9642857142857143,12.72857671426922,9,0.9605911330049262,0.0049261083743842365,,,,0.0049261083743842365,,,0.0049261083743842365,,,,,,0.0049261083743842365,,,0.0049261083743842365,0.0049261083743842365,,0.0049261083743842365,,,0.0049261083743842365,
96,200,60,0.0,0.075,0.96,0.9642857142857143,12.726924685436162,9,0.96,0.005,,,,0.005,,,0.005,,,,,,0.005,,,0.005,0.005,,0.005,,,0.005,
97,198,60,0.0,0.07575757575757576,0.9595959595959596,0.9642857142857143,12.708971400776628,9,0.9595959595959596,0.005050505050505051,,,,0.005050505050505051,,,0.005050505050505051,,,,,,0.005050505050505051,,,0.005050505050505051,0.005050505050505051,,0.005050505050505051,,,0.005050505050505051,
98,197,60,0.0,0.07614213197969544,0.9593908629441624,0.9642857142857143,12.643919683072847,9,0.9593908629441624,0.005076142131979695,,,,0.005076142131979695,,,0.005076142131979695,,,,,,0.005076142131979695,,,0.005076142131979695,0.005076142131979695,,0.005076142131979695,,,0.005076142131979695,
99,195,60,0.0,0.07692307692307693,0.958974358974359,0.9642857142857143,12.661831118059355,9,0.958974358974359,0.005128205128205128,,,,0.005128205128205128,,,0.005128205128205128,,,,,,0.005128205128205128,,,0.005128205128205128,0.005128205128205128,,0.005128205128205128,,,0.005128205128205128,
100,195,60,0.0,0.07692307692307693,0.958974358974359,0.9642857142857143,12.578195495560758,9,0.958974358974359,0.005128205128205128,,,,0.005128205128205128,,,0.005128205128205128,,,,,,0.005128205128205128,,,0.005128205128205128,0.005128205128205128,,0.005128205128205128,,,0.005128205128205128,
