timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
58,120,80,0.0,0.0,0.9916666666666667,0.8888888888888888,10.949098782241807,2,0.9916666666666667,,,0.008333333333333333,,,,,
59,117,80,0.0,0.0,0.9914529914529915,0.8888888888888888,10.904876476947994,2,0.9914529914529915,,,0.008547008547008548,,,,,
60,112,80,0.0,0.0,0.9910714285714286,0.8888888888888888,11.111642870374782,2,0.9910714285714286,,,0.008928571428571428,,,,,
61,111,80,0.0,0.0,0.990990990990991,0.8888888888888888,11.019751730110388,2,0.990990990990991,,,0.009009009009009009,,,,,
62,109,80,0.0,0.0,0.9908256880733946,0.8888888888888888,11.03943429417431,2,0.9908256880733946,,,0.009174311926605505,,,,,
63,104,80,0.0,0.0,0.9903846153846154,0.8888888888888888,11.429122425472123,2,0.9903846153846154,,,0.009615384615384616,,,,,
64,104,80,0.0,0.0,0.9903846153846154,0.8888888888888888,11.343187430798904,2,0.9903846153846154,,,0.009615384615384616,,,,,
65,104,80,0.0,0.0,0.9903846153846154,0.8888888888888888,11.247178279633316,2,0.9903846153846154,,,0.009615384615384616,,,,,
66,102,80,0.0,0.0,0.9901960784313726,0.8888888888888888,11.358363910989974,2,0.9901960784313726,,,0.00980392156862745,,,,,
67,100,80,0.0,0.0,0.99,0.8888888888888888,11.512519336823448,2,0.99,,,0.01,,,,,
68,98,80,0.0,0.0,0.9897959183673469,0.8888888888888888,11.722292101310146,2,0.9897959183673469,,,0.01020408163265306,,,,,
69,98,80,0.0,0.0,0.9897959183673469,0.8888888888888888,11.717615970814148,2,0.9897959183673469,,,0.01020408163265306,,,,,
70,98,80,0.0,0.0,0.9897959183673469,0.8888888888888888,11.734018520325982,2,0.9897959183673469,,,0.01020408163265306,,,,,
71,98,80,0.0,0.0,0.9897959183673469,0.8888888888888888,11.754054698152961,2,0.9897959183673469,,,0.01020408163265306,,,,,
72,98,80,0.0,0.0,0.9897959183673469,0.8888888888888888,11.76532086594449,2,0.9897959183673469,,,0.01020408163265306,,,,,
73,97,80,0.0,0.0,0.9896907216494846,0.8888888888888888,11.84760841545022,2,0.9896907216494846,,,0.010309278350515464,,,,,
74,97,80,0.0,0.0,0.9896907216494846,0.8888888888888888,11.84144662679853,2,0.9896907216494846,,,0.010309278350515464,,,,,
75,97,80,0.0,0.0,0.9896907216494846,0.8888888888888888,11.824053807168076,2,0.9896907216494846,,,0.010309278350515464,,,,,
76,97,80,0.0,0.0,0.9896907216494846,0.8888888888888888,11.846790049136299,2,0.9896907216494846,,,0.010309278350515464,,,,,
77,96,80,0.0,0.0,0.9895833333333334,0.8888888888888888,11.99105307518726,2,0.9895833333333334,,,0.010416666666666666,,,,,
78,96,80,0.0,0.0,0.9895833333333334,0.8888888888888888,11.985825772154806,2,0.9895833333333334,,,0.010416666666666666,,,,,
79,96,80,0.0,0.0,0.9895833333333334,0.8888888888888888,11.96798110479913,2,0.9895833333333334,,,0.010416666666666666,,,,,
80,94,80,0.0,0.0,0.9893617021276596,0.8888888888888888,12.252781581492636,2,0.9893617021276596,,,0.010638297872340425,,,,,
81,94,80,0.0,0.0,0.9893617021276596,0.8888888888888888,12.300013221766896,2,0.9893617021276596,,,0.010638297872340425,,,,,
82,94,80,0.0,0.0,0.9893617021276596,0.8888888888888888,12.354756210736495,2,0.9893617021276596,,,0.010638297872340425,,,,,
83,94,80,0.0,0.0,0.9893617021276596,0.8888888888888888,12.397604224416181,2,0.9893617021276596,,,0.010638297872340425,,,,,
84,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,12.625757686235149,2,0.989247311827957,,,0.010752688172043012,,,,,
85,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,12.738682063908637,2,0.989247311827957,,,0.010752688172043012,,,,,
86,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,12.818413430433417,2,0.989247311827957,,,0.010752688172043012,,,,,
87,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,12.934289936097153,2,0.989247311827957,,,0.010752688172043012,,,,,
88,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,12.984330280711887,2,0.989247311827957,,,0.010752688172043012,,,,,
89,93,80,0.0,0.0,0.989247311827957,0.8888888888888888,13.04195123702603,2,0.989247311827957,,,0.010752688172043012,,,,,
90,92,80,0.0,0.0,0.9891304347826086,0.8888888888888888,13.228554004757394,2,0.9891304347826086,,,0.010869565217391304,,,,,
91,92,80,0.0,0.0,0.9891304347826086,0.8888888888888888,13.275558459560306,2,0.9891304347826086,,,0.010869565217391304,,,,,
92,90,80,0.0,0.0,0.9888888888888889,0.8888888888888888,13.650616703530517,2,0.9888888888888889,,,0.011111111111111112,,,,,
93,90,80,0.0,0.0,0.9888888888888889,0.8888888888888888,13.805563103419,2,0.9888888888888889,,,0.011111111111111112,,,,,
94,90,80,0.0,0.0,0.9888888888888889,0.8888888888888888,13.903091887552089,2,0.9888888888888889,,,0.011111111111111112,,,,,
95,89,80,0.0,0.0,0.9887640449438202,0.8888888888888888,14.171339059429998,2,0.9887640449438202,,,0.011235955056179775,,,,,
96,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,14.45839829006593,2,0.9886363636363636,,,0.011363636363636364,,,,,
97,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,14.591948385740908,2,0.9886363636363636,,,0.011363636363636364,,,,,
98,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,14.711037820932,2,0.9886363636363636,,,0.011363636363636364,,,,,
99,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,14.844704009953197,2,0.9886363636363636,,,0.011363636363636364,,,,,
100,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,14.94873675701772,2,0.9886363636363636,,,0.011363636363636364,,,,,
101,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.060525086350223,2,0.9886363636363636,,,0.011363636363636364,,,,,
102,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.1483065270267,2,0.9886363636363636,,,0.011363636363636364,,,,,
103,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.23151118749814,2,0.9886363636363636,,,0.011363636363636364,,,,,
104,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.35567855468375,2,0.9886363636363636,,,0.011363636363636364,,,,,
105,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.458535720025173,2,0.9886363636363636,,,0.011363636363636364,,,,,
106,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.589843710551456,2,0.9886363636363636,,,0.011363636363636364,,,,,
107,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.697047214115742,2,0.9886363636363636,,,0.011363636363636364,,,,,
108,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.816128319167161,2,0.9886363636363636,,,0.011363636363636364,,,,,
109,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,15.942889764696632,2,0.9886363636363636,,,0.011363636363636364,,,,,
110,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.053845201992395,2,0.9886363636363636,,,0.011363636363636364,,,,,
111,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.155970116098374,2,0.9886363636363636,,,0.011363636363636364,,,,,
112,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.231377876623355,2,0.9886363636363636,,,0.011363636363636364,,,,,
113,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.362959529368297,2,0.9886363636363636,,,0.011363636363636364,,,,,
114,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.48422823684566,2,0.9886363636363636,,,0.011363636363636364,,,,,
115,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.59523556378178,2,0.9886363636363636,,,0.011363636363636364,,,,,
116,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.715342891087076,2,0.9886363636363636,,,0.011363636363636364,,,,,
117,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.82519464475199,2,0.9886363636363636,,,0.011363636363636364,,,,,
118,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,16.94139359465133,2,0.9886363636363636,,,0.011363636363636364,,,,,
119,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,17.070804459806684,2,0.9886363636363636,,,0.011363636363636364,,,,,
120,88,80,0.0,0.0,0.9886363636363636,0.8888888888888888,17.22025763564453,2,0.9886363636363636,,,0.011363636363636364,,,,,
121,83,80,1.0,0.0,0.9879518072289156,0.8888888888888888,17.384112178611634,2,0.9879518072289156,,,0.012048192771084338,,,,,
