timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
70,2127,100,0.0,0.004701457451810061,0.0009402914903620122,0.9230769230769231,54.22198937562819,13,0.9849553361542078,,0.0018805829807240243,0.0018805829807240243,0.0023507287259050304,0.0009402914903620122,0.0014104372355430183,0.0014104372355430183,0.0009402914903620122,0.0009402914903620122,,0.0014104372355430183,,,,,
71,2142,100,0.0,0.004668534080298786,0.0009337068160597573,0.9285714285714286,53.907440881924565,14,0.9845938375350141,,0.0018674136321195146,0.0018674136321195146,0.002334267040149393,0.0009337068160597573,0.0014005602240896359,0.0014005602240896359,0.0009337068160597573,0.0009337068160597573,,0.0014005602240896359,,,,,
72,2153,100,0.0,0.005109150023223409,0.0009289363678588017,0.9285714285714286,53.58619812859751,14,0.9846725499303298,,0.0018578727357176034,0.0018578727357176034,0.0023223409196470044,0.0009289363678588017,0.0013934045517882026,0.0013934045517882026,0.0009289363678588017,0.0009289363678588017,,0.0013934045517882026,,,,,
73,2174,100,0.0,0.005059797608095676,0.0009199632014719411,0.9285714285714286,53.29816813041296,14,0.984820607175713,,0.0018399264029438822,0.0018399264029438822,0.0022999080036798527,0.0009199632014719411,0.0013799448022079118,0.0013799448022079118,0.0009199632014719411,0.0009199632014719411,,0.0013799448022079118,,,,,
74,2198,100,0.0,0.005004549590536852,0.001364877161055505,0.9285714285714286,53.02247650384544,14,0.9840764331210191,,0.0018198362147406734,0.0018198362147406734,0.00272975432211101,0.0009099181073703367,0.001364877161055505,0.001364877161055505,0.001364877161055505,0.0009099181073703367,,0.001364877161055505,,,,,
75,2218,100,0.0,0.005410279531109108,0.001352569882777277,0.9333333333333333,52.72123864145589,15,0.9837691614066727,,0.0018034265103697023,0.0018034265103697023,0.002705139765554554,0.0009017132551848512,0.001352569882777277,0.001352569882777277,0.001352569882777277,0.0009017132551848512,,0.001352569882777277,,,,,
76,2235,100,0.0,0.005369127516778523,0.0013422818791946308,0.9333333333333333,52.41250725805637,15,0.9838926174496644,,0.0017897091722595079,0.0017897091722595079,0.0026845637583892616,0.0008948545861297539,0.0013422818791946308,0.0013422818791946308,0.0013422818791946308,0.0008948545861297539,,0.0013422818791946308,,,,,
77,2258,100,0.0,0.005314437555358724,0.001328609388839681,0.9333333333333333,52.12842808690963,15,0.9840566873339238,,0.001771479185119575,0.001771479185119575,0.002657218777679362,0.0008857395925597874,0.001328609388839681,0.001328609388839681,0.001328609388839681,0.0008857395925597874,,0.001328609388839681,,,,,
78,2270,100,0.0,0.0052863436123348016,0.0013215859030837004,0.9333333333333333,51.81396551816747,15,0.9837004405286344,,0.001762114537444934,0.001762114537444934,0.0026431718061674008,0.000881057268722467,0.0013215859030837004,0.0013215859030837004,0.0013215859030837004,0.000881057268722467,,0.0013215859030837004,,,,,
79,2285,100,0.0,0.0056892778993435445,0.001312910284463895,0.9333333333333333,51.50888822551234,15,0.9838074398249453,,0.00175054704595186,0.00175054704595186,0.00262582056892779,0.00087527352297593,0.001312910284463895,0.001312910284463895,0.001312910284463895,0.00087527352297593,,0.001312910284463895,,,,,
80,2306,100,0.0,0.005637467476149176,0.0013009540329575022,0.9333333333333333,51.22986774398217,15,0.9830875975715525,,0.0017346053772766695,0.0017346053772766695,0.0026019080659150044,0.0013009540329575022,0.0013009540329575022,0.0017346053772766695,0.0013009540329575022,0.0008673026886383347,,0.0013009540329575022,,,,,
81,2323,100,0.0,0.005596211795092553,0.0012914334911752045,0.9333333333333333,50.94146766287302,15,0.9823504089539389,,0.0017219113215669393,0.0017219113215669393,0.002582866982350409,0.0017219113215669393,0.0017219113215669393,0.0017219113215669393,0.0012914334911752045,0.0008609556607834697,,0.0012914334911752045,,,,,
82,2333,100,0.0,0.006000857265323617,0.0012858979854264896,0.9333333333333333,50.63154312928584,15,0.9819974282040291,,0.0017145306472353193,0.0017145306472353193,0.002571795970852979,0.0017145306472353193,0.0017145306472353193,0.0021431633090441492,0.0012858979854264896,0.0008572653236176596,,0.0012858979854264896,,,,,
83,2349,100,0.0,0.005959982971477224,0.001277139208173691,0.9333333333333333,50.348436543014614,15,0.9812686249467859,,0.0017028522775649213,0.0017028522775649213,0.002554278416347382,0.0017028522775649213,0.0021285653469561515,0.0021285653469561515,0.001277139208173691,0.0008514261387824606,,0.001277139208173691,,,,,
84,2366,100,0.0,0.006339814032121725,0.001267962806424345,0.9333333333333333,50.072150763344766,15,0.9809805579036348,,0.0016906170752324597,0.0016906170752324597,0.00253592561284869,0.0016906170752324597,0.002113271344040575,0.002113271344040575,0.001267962806424345,0.001267962806424345,,0.001267962806424345,,,,,
85,2389,100,0.0,0.006697362913352867,0.0012557555462536626,0.9333333333333333,49.824410323738896,15,0.9807450816241106,,0.0016743407283382169,0.0016743407283382169,0.0025115110925073253,0.0016743407283382169,0.0025115110925073253,0.002092925910422771,0.0012557555462536626,0.0012557555462536626,,0.0012557555462536626,,,,,
86,2401,100,0.0,0.007080383173677634,0.001665972511453561,0.9333333333333333,49.53002535182553,15,0.9804248229904207,,0.001665972511453561,0.001665972511453561,0.0024989587671803417,0.001665972511453561,0.0024989587671803417,0.0020824656393169513,0.001665972511453561,0.0012494793835901709,,0.0012494793835901709,,,,,
87,2415,100,0.0,0.007039337474120083,0.0016563146997929607,0.9333333333333333,49.23546661141421,15,0.9805383022774327,,0.0016563146997929607,0.0016563146997929607,0.002484472049689441,0.0016563146997929607,0.002484472049689441,0.002070393374741201,0.0016563146997929607,0.0012422360248447205,,0.0012422360248447205,,,,,
88,2432,100,0.0,0.0069901315789473685,0.001644736842105263,0.9333333333333333,48.95817649131665,15,0.9798519736842105,,0.001644736842105263,0.002055921052631579,0.0024671052631578946,0.001644736842105263,0.0024671052631578946,0.002055921052631579,0.001644736842105263,0.0012335526315789473,,0.0012335526315789473,,,,,
